"Date","Open","High","Low","Close"
"Dec 05, 2018","$793.75","$801.50","$789.40","$791.45"
"Dec 04, 2018","$803.40","$807.00","$791.00","$794.25"
"Dec 03, 2018","$813.50","$813.50","$802.00","$802.65"
"Nov 29, 2018","$828.00","$828.00","$811.20","$812.00"
"Nov 28, 2018","$831.22","$833.02","$813.57","$829.45"
"Nov 27, 2018","$839.60","$844.00","$828.50","$831.15"
"Nov 26, 2018","$847.47","$848.27","$839.65","$841.30"
"Nov 22, 2018","$843.50","$849.50","$840.45","$841.30"
"Nov 21, 2018","$844.57","$849.27","$843.52","$844.61"
"Nov 20, 2018","$852.63","$853.43","$837.73","$844.40"
"Nov 19, 2018","$843.83","$854.57","$842.08","$853.87"
"Nov 15, 2018","$835.87","$844.27","$828.57","$841.23"
"Nov 14, 2018","$832.50","$839.40","$826.50","$836.52"
"Nov 13, 2018","$846.50","$849.30","$833.95","$833.95"
"Nov 12, 2018","$850.14","$853.67","$839.50","$846.30"
"Nov 08, 2018","$872.83","$873.03","$861.18","$867.05"
"Nov 07, 2018","$872.47","$878.52","$869.00","$872.10"
"Nov 06, 2018","$868.27","$874.50","$865.27","$872.95"
"Nov 05, 2018","$870.32","$871.32","$860.97","$867.70"
"Nov 02, 2018","$833.00","$840.50","$832.00","$835.50"
"Nov 01, 2018","$834.00","$842.50","$830.50","$833.50"
"Oct 31, 2018","$835.50","$840.50","$832.00","$838.50"
"Oct 30, 2018","$833.00","$840.50","$832.00","$835.50"
"Oct 29, 2018","$834.00","$842.50","$830.50","$833.50"
"Oct 26, 2018","$827.00","$835.50","$822.50","$832.50"
"Oct 25, 2018","$831.00","$834.00","$823.50","$827.50"
"Oct 24, 2018","$833.00","$836.00","$825.50","$830.50"
"Oct 23, 2018","$822.00","$835.50","$817.00","$833.50"
"Oct 22, 2018","$831.50","$838.50","$817.50","$822.50"
"Oct 19, 2018","$828.00","$836.50","$827.50","$830.50"
"Oct 18, 2018","$833.00","$834.50","$825.50","$827.50"
"Oct 17, 2018","$842.00","$843.50","$831.50","$832.50"
"Oct 16, 2018","$844.50","$846.50","$839.50","$841.50"
"Oct 15, 2018","$840.00","$850.50","$839.50","$844.50"
"Oct 09, 2018","$820.50","$827.50","$812.00","$826.00"
"Oct 08, 2018","$823.00","$824.50","$810.50","$820.50"
"Oct 05, 2018","$826.50","$832.00","$819.50","$823.50"
"Oct 04, 2018","$826.00","$834.50","$821.00","$825.50"
"Oct 03, 2018","$832.50","$837.50","$826.50","$826.50"
"Oct 02, 2018","$824.50","$836.00","$817.50","$833.50"
"Oct 01, 2018","$818.50","$827.50","$809.50","$824.50"
"Sep 28, 2018","$811.00","$824.50","$807.50","$817.00"
"Sep 27, 2018","$824.50","$833.00","$808.00","$811.50"
"Sep 26, 2018","$824.00","$830.50","$819.75","$823.50"
"Sep 25, 2018","$828.50","$833.50","$822.50","$824.50"
"Sep 24, 2018","$826.00","$834.50","$823.00","$828.00"
"Sep 21, 2018","$835.00","$838.50","$823.00","$828.00"
"Sep 20, 2018","$824.00","$835.50","$818.50","$834.50"
"Sep 19, 2018","$815.00","$827.00","$812.50","$823.50"
"Sep 18, 2018","$797.00","$818.50","$794.00","$814.50"
"Sep 17, 2018","$795.00","$807.50","$792.00","$797.00"
"Sep 14, 2018","$804.00","$812.00","$794.50","$795.50"
"Sep 13, 2018","$800.50","$813.00","$799.00","$804.00"
"Sep 12, 2018","$793.00","$802.50","$784.00","$801.00"
"Sep 11, 2018","$787.50","$794.50","$782.00","$792.50"
"Sep 10, 2018","$782.50","$801.50","$777.00","$787.00"
"Sep 07, 2018","$793.00","$795.50","$775.50","$782.50"
"Sep 06, 2018","$786.00","$796.50","$782.00","$792.50"
"Sep 05, 2018","$779.50","$787.50","$771.50","$786.50"
"Sep 04, 2018","$788.50","$791.00","$767.00","$779.00"
"Sep 03, 2018","$788.00","$790.50","$783.50","$788.00"
"Aug 31, 2018","$790.00","$801.50","$784.50","$787.50"
"Aug 30, 2018","$798.50","$799.50","$788.50","$790.50"
"Aug 29, 2018","$791.50","$799.50","$787.50","$798.00"
"Aug 28, 2018","$803.50","$810.50","$788.50","$792.00"
"Aug 27, 2018","$792.00","$806.00","$788.00","$803.50"
