"Date","Open","High","Low","Close"
"Nov 28, 2018","$14.14","$14.38","$14.11","$14.37"
"Nov 27, 2018","$14.20","$14.29","$14.09","$14.14"
"Nov 26, 2018","$14.44","$14.44","$14.20","$14.24"
"Nov 22, 2018","$14.47","$14.53","$14.25","$14.27"
"Nov 21, 2018","$14.41","$14.56","$14.39","$14.49"
"Nov 20, 2018","$14.45","$14.50","$14.27","$14.39"
"Nov 19, 2018","$14.41","$14.50","$14.36","$14.41"
"Nov 15, 2018","$14.21","$14.37","$14.13","$14.29"
"Nov 14, 2018","$13.99","$14.22","$13.90","$14.20"
"Nov 13, 2018","$14.08","$14.12","$13.97","$14.00"
"Nov 12, 2018","$14.16","$14.21","$13.99","$14.08"
"Nov 08, 2018","$14.54","$14.54","$14.36","$14.36"
"Nov 07, 2018","$14.62","$14.73","$14.50","$14.53"
"Nov 06, 2018","$14.69","$14.71","$14.51","$14.59"
"Nov 05, 2018","$14.75","$14.77","$14.61","$14.67"
"Nov 02, 2018","$14.47","$14.84","$14.38","$14.47"
"Nov 01, 2018","$14.70","$14.77","$14.43","$14.48"
"Oct 31, 2018","$14.47","$14.48","$14.06","$14.28"
"Oct 30, 2018","$14.47","$14.84","$14.38","$14.47"
"Oct 29, 2018","$14.70","$14.77","$14.43","$14.48"
"Oct 26, 2018","$14.64","$14.77","$14.58","$14.63"
"Oct 25, 2018","$14.68","$14.78","$14.59","$14.64"
"Oct 24, 2018","$14.76","$14.80","$14.63","$14.68"
"Oct 23, 2018","$14.57","$14.87","$14.51","$14.76"
"Oct 22, 2018","$14.64","$14.69","$14.51","$14.56"
"Oct 19, 2018","$14.58","$14.72","$14.55","$14.64"
"Oct 18, 2018","$14.62","$14.66","$14.46","$14.58"
"Oct 17, 2018","$14.67","$14.72","$14.59","$14.62"
"Oct 16, 2018","$14.71","$14.85","$14.62","$14.67"
"Oct 15, 2018","$14.57","$14.70","$14.55","$14.72"
"Oct 09, 2018","$14.37","$14.44","$14.27","$14.39"
"Oct 08, 2018","$14.65","$14.66","$14.27","$14.38"
"Oct 05, 2018","$14.59","$14.72","$14.51","$14.64"
"Oct 04, 2018","$14.63","$14.78","$14.54","$14.59"
"Oct 03, 2018","$14.72","$14.83","$14.63","$14.64"
"Oct 02, 2018","$14.50","$14.91","$14.45","$14.72"
"Oct 01, 2018","$14.68","$14.68","$14.38","$14.51"
"Sep 28, 2018","$14.26","$14.72","$14.24","$14.66"
"Sep 27, 2018","$14.37","$14.46","$14.18","$14.26"
"Sep 26, 2018","$14.48","$14.51","$14.32","$14.37"
"Sep 25, 2018","$14.27","$14.55","$14.22","$14.48"
"Sep 24, 2018","$14.28","$14.39","$14.20","$14.28"
"Sep 21, 2018","$14.32","$14.43","$14.16","$14.29"
"Sep 20, 2018","$14.25","$14.35","$14.18","$14.31"
"Sep 19, 2018","$14.17","$14.34","$14.15","$14.24"
"Sep 18, 2018","$14.14","$14.24","$14.08","$14.17"
"Sep 17, 2018","$14.07","$14.25","$14.05","$14.15"
"Sep 14, 2018","$14.19","$14.29","$14.05","$14.06"
"Sep 13, 2018","$14.25","$14.36","$14.15","$14.19"
"Sep 12, 2018","$14.14","$14.28","$14.08","$14.25"
"Sep 11, 2018","$14.17","$14.23","$13.95","$14.13"
"Sep 10, 2018","$14.15","$14.25","$14.08","$14.17"
"Sep 07, 2018","$14.17","$14.25","$14.08","$14.17"
"Sep 06, 2018","$14.20","$14.30","$14.12","$14.17"
"Sep 05, 2018","$14.16","$14.24","$14.09","$14.20"
"Sep 04, 2018","$14.51","$14.51","$14.00","$14.17"
"Sep 03, 2018","$14.53","$14.55","$14.40","$14.50"
"Aug 31, 2018","$14.55","$14.72","$14.50","$14.53"
"Aug 30, 2018","$14.75","$14.88","$14.52","$14.55"
"Aug 29, 2018","$14.74","$14.79","$14.66","$14.75"
"Aug 28, 2018","$14.89","$15.00","$14.67","$14.75"
"Aug 27, 2018","$14.85","$14.97","$14.75","$14.89"
"Aug 24, 2018","$14.51","$14.88","$14.49","$14.82"
"Aug 23, 2018","$14.76","$14.77","$14.43","$14.51"
"Aug 22, 2018","$14.78","$14.88","$14.70","$14.76"
"Aug 21, 2018","$14.76","$14.85","$14.66","$14.79"
"Aug 20, 2018","$14.78","$14.85","$14.65","$14.76"
"Aug 17, 2018","$14.67","$14.84","$14.59","$14.80"
"Aug 16, 2018","$14.45","$14.84","$14.34","$14.66"
"Aug 15, 2018","$15.07","$15.07","$14.38","$14.46"
"Aug 14, 2018","$15.03","$15.11","$14.99","$15.07"
"Aug 13, 2018","$15.33","$15.35","$14.99","$15.03"
"Aug 10, 2018","$15.43","$15.45","$15.29","$15.32"
"Aug 09, 2018","$15.41","$15.51","$15.37","$15.43"
"Aug 08, 2018","$15.41","$15.46","$15.29","$15.41"
"Aug 07, 2018","$15.31","$15.49","$15.30","$15.39"
"Aug 06, 2018","$15.42","$15.49","$15.25","$15.31"
"Aug 03, 2018","$15.33","$15.55","$15.25","$15.41"
"Aug 02, 2018","$15.41","$15.47","$15.30","$15.33"
"Aug 01, 2018","$15.51","$15.54","$15.38","$15.40"
"Jul 31, 2018","$15.50","$15.61","$15.38","$15.51"
"Jul 30, 2018","$15.50","$15.55","$15.40","$15.49"
"Jul 27, 2018","$15.40","$15.54","$15.33","$15.50"
"Jul 26, 2018","$15.61","$15.67","$15.38","$15.40"
"Jul 25, 2018","$15.49","$15.63","$15.45","$15.61"
"Jul 24, 2018","$15.39","$15.60","$15.33","$15.48"
"Jul 23, 2018","$15.53","$15.56","$15.36","$15.38"
"Jul 20, 2018","$15.47","$15.47","$15.18","$15.39"
"Jul 19, 2018","$15.55","$15.57","$15.18","$15.32"
"Jul 18, 2018","$15.58","$15.62","$15.39","$15.55"
"Jul 17, 2018","$15.79","$15.87","$15.55","$15.58"
"Jul 16, 2018","$15.83","$15.88","$15.75","$15.79"
"Jul 13, 2018","$15.86","$16.00","$15.83","$15.88"
"Jul 12, 2018","$15.81","$16.00","$15.76","$15.94"
"Jul 11, 2018","$16.02","$16.04","$15.79","$15.80"
"Jul 10, 2018","$16.09","$16.18","$15.91","$16.02"
"Jul 09, 2018","$16.05","$16.22","$16.05","$16.12"
"Jul 06, 2018","$16.06","$16.08","$15.95","$16.04"
"Jul 05, 2018","$16.09","$16.10","$15.92","$16.05"
"Jul 04, 2018","$16.03","$16.15","$16.00","$16.09"
"Jul 03, 2018","$15.87","$16.05","$15.78","$16.03"
"Jul 02, 2018","$16.11","$16.13","$15.78","$15.87"
"Jun 29, 2018","$16.01","$16.16","$15.96","$16.11"
"Jun 28, 2018","$16.09","$16.13","$15.92","$16.02"
"Jun 27, 2018","$16.30","$16.31","$15.91","$16.09"
"Jun 26, 2018","$16.34","$16.36","$16.15","$16.29"
"Jun 25, 2018","$16.47","$16.49","$16.30","$16.34"
"Jun 22, 2018","$16.33","$16.49","$16.31","$16.46"
"Jun 21, 2018","$16.31","$16.36","$16.19","$16.34"
"Jun 20, 2018","$16.32","$16.37","$16.26","$16.30"
